ep,seed,reward,floor_reached,victory,turns,cards_played,final_hp,final_san
560,20560,64.63999999999999,10,True,23,62,24,6
561,20561,25.050000000000022,8,False,18,47,-2,15
562,20562,64.2,10,True,12,44,24,26
563,20563,61.95,10,True,12,43,41,12
564,20564,60.42,10,True,13,48,19,19
565,20565,63.61,10,True,14,43,1,27
566,20566,63.95,10,True,16,46,35,2
567,20567,62.8,10,True,17,50,1,23
568,20568,61.44999999999999,10,True,16,45,9,14
569,20569,62.94999999999999,10,True,15,51,12,27
570,20570,29.699999999999996,10,False,15,36,-20,14
571,20571,29.290000000000035,10,False,19,53,-8,20
572,20572,62.85000000000001,10,True,16,45,3,27
573,20573,64.69999999999999,10,True,21,58,13,25
574,20574,63.029999999999994,10,True,17,45,19,19
575,20575,31.15,10,False,14,39,-13,23
576,20576,62.88000000000001,10,True,13,44,48,-1
577,20577,32.9,10,False,16,48,-4,22
578,20578,60.42999999999999,10,True,13,42,3,30
579,20579,63.95,10,True,15,52,13,26
580,20580,65.80000000000001,10,True,25,61,17,6
581,20581,33.91000000000001,10,False,20,44,-15,15
582,20582,32.149999999999984,10,False,17,42,-4,26
583,20583,61.199999999999974,10,True,16,40,12,23
584,20584,61.349999999999994,10,True,14,43,7,22
585,20585,34.599999999999994,10,False,21,65,-5,15
586,20586,66.55,10,True,18,51,35,17
587,20587,34.299999999999976,10,False,18,52,-15,29
588,20588,26.450000000000017,8,False,11,35,0,29
589,20589,31.599999999999987,10,False,18,42,-10,23
